Detector,Descriptor,image_num,TTC,num_keypoints,num_matches,matches_by_keyp
SHITOMASI,BRISK,1,2.7652,1759,799,0.454235
SHITOMASI,BRISK,2,1.44783,1820,797,0.437912
SHITOMASI,BRISK,3,2.00967,1850,846,0.457297
SHITOMASI,BRISK,4,1.51037,1828,824,0.450766
SHITOMASI,BRISK,5,1.44233,1806,812,0.449612
SHITOMASI,BRISK,6,1.51925,1877,829,0.441662
SHITOMASI,BRISK,7,1.4016,1894,810,0.427666
SHITOMASI,BRISK,8,1.73872,1889,866,0.458444
SHITOMASI,BRISK,9,1.41907,1917,837,0.43662
SHITOMASI,BRISK,10,1.48084,1874,858,0.457844
SHITOMASI,BRISK,11,1.83302,1912,866,0.452929
SHITOMASI,BRISK,12,1.68896,1930,880,0.455959
SHITOMASI,BRISK,13,1.50427,1881,864,0.45933
SHITOMASI,BRISK,14,1.44972,1886,888,0.470838
SHITOMASI,BRISK,15,1.35671,1957,905,0.462443
SHITOMASI,BRISK,16,1.25807,1888,874,0.462924
SHITOMASI,BRISK,17,1.43109,1919,913,0.475769
SHITOMASI,BRISK,18,1.05257,2057,958,0.465727
SHITOMASI,BRIEF,1,2.16202,1759,1170,0.665151
SHITOMASI,BRIEF,2,1.38211,1820,1225,0.673077
SHITOMASI,BRIEF,3,1.44849,1850,1257,0.679459
SHITOMASI,BRIEF,4,1.40357,1828,1213,0.663567
SHITOMASI,BRIEF,5,1.38253,1806,1210,0.669989
SHITOMASI,BRIEF,6,1.2807,1877,1186,0.631859
SHITOMASI,BRIEF,7,1.52352,1894,1216,0.642027
SHITOMASI,BRIEF,8,1.48555,1889,1234,0.653256
SHITOMASI,BRIEF,9,1.48883,1917,1220,0.636411
SHITOMASI,BRIEF,10,1.427,1874,1169,0.623799
SHITOMASI,BRIEF,11,1.71953,1912,1215,0.63546
SHITOMASI,BRIEF,12,1.69258,1930,1245,0.645078
SHITOMASI,BRIEF,13,1.51378,1881,1244,0.66135
SHITOMASI,BRIEF,14,1.4423,1886,1255,0.665429
SHITOMASI,BRIEF,15,1.41525,1957,1295,0.661727
SHITOMASI,BRIEF,16,1.18376,1888,1240,0.65678
SHITOMASI,BRIEF,17,1.41294,1919,1308,0.681605
SHITOMASI,BRIEF,18,1.11669,2057,1347,0.654837
SHITOMASI,ORB,1,2.28256,1759,1038,0.590108
SHITOMASI,ORB,2,1.40624,1820,1085,0.596154
SHITOMASI,ORB,3,1.72388,1850,1128,0.60973
SHITOMASI,ORB,4,1.40624,1828,1095,0.599015
SHITOMASI,ORB,5,1.4581,1806,1078,0.596899
SHITOMASI,ORB,6,1.32282,1877,1080,0.575386
SHITOMASI,ORB,7,1.29277,1894,1083,0.571806
SHITOMASI,ORB,8,1.6126,1889,1105,0.584966
SHITOMASI,ORB,9,1.41525,1917,1081,0.563902
SHITOMASI,ORB,10,1.52662,1874,1069,0.570438
SHITOMASI,ORB,11,1.63295,1912,1085,0.567469
SHITOMASI,ORB,12,1.5735,1930,1095,0.567358
SHITOMASI,ORB,13,1.51661,1881,1111,0.590643
SHITOMASI,ORB,14,1.4464,1886,1094,0.580064
SHITOMASI,ORB,15,1.27477,1957,1156,0.5907
SHITOMASI,ORB,16,1.27016,1888,1148,0.608051
SHITOMASI,ORB,17,1.43109,1919,1174,0.611777
SHITOMASI,ORB,18,1.04906,2057,1220,0.593097
SHITOMASI,FREAK,1,2.63575,1759,815,0.463331
SHITOMASI,FREAK,2,1.37161,1820,846,0.464835
SHITOMASI,FREAK,3,1.51098,1850,896,0.484324
SHITOMASI,FREAK,4,1.38238,1828,860,0.47046
SHITOMASI,FREAK,5,1.33582,1806,855,0.473422
SHITOMASI,FREAK,6,1.66156,1877,841,0.448055
SHITOMASI,FREAK,7,1.36084,1894,830,0.438226
SHITOMASI,FREAK,8,1.5162,1889,880,0.465855
SHITOMASI,FREAK,9,1.45097,1917,873,0.455399
SHITOMASI,FREAK,10,1.5367,1874,849,0.453042
